Filename,BitDepth,Bandwidth,lowSNR,Saturation,Hum,Clicks,Silence,FalseStereo,OutofPhase,NoiseBursts
26f921e3.wav,False,False,True,False,False,True,True,False,False,False
07bca33c.wav,False,False,False,False,False,False,True,False,False,False
38d29a00.wav,False,False,True,False,False,False,False,False,False,False
0d2230eb.wav,False,False,True,False,False,False,False,False,False,False
1a884f9e.wav,False,False,True,False,False,True,False,False,False,False
1dfa910d.wav,False,False,False,False,False,False,True,False,False,False
13728313.wav,False,True,False,False,False,False,False,False,False,False
34dc323b.wav,False,False,False,False,False,False,False,False,False,False
08b06642.wav,False,False,False,True,False,False,True,False,False,False
3f53a02f.wav,False,True,False,False,False,False,False,False,False,False
2d5dcc5d.wav,False,False,False,False,False,False,False,False,False,False
0a4d3800.wav,False,True,False,False,False,False,False,False,False,False
04308d8d.wav,False,True,False,False,False,False,True,False,False,False
38ea5df2.wav,False,False,False,True,False,False,True,False,False,False
12849e29.wav,False,True,False,True,False,False,True,False,False,False
3e65a00d.wav,False,False,True,True,False,False,False,False,False,False
3caf1f70.wav,False,False,False,False,False,False,False,False,False,False
124a286f.wav,False,False,False,False,False,True,False,False,False,False
1a51eefe.wav,False,False,False,False,False,False,True,False,False,False
18ace84c.wav,False,False,False,False,False,False,False,False,False,True
33c82ad4.wav,False,True,False,True,False,False,False,False,False,False
17140de5.wav,False,False,False,True,False,False,False,False,False,False
2a0893c6.wav,False,True,False,True,False,False,False,False,False,False
206c0a24.wav,False,False,True,False,False,True,False,False,False,False
08bc3e2d.wav,False,False,True,False,False,True,True,False,False,False
02e8059d.wav,False,True,False,True,False,False,False,False,False,False
3b3c2c67.wav,False,False,False,False,False,True,False,False,False,False
0c390f3c.wav,False,False,False,False,False,False,True,False,False,False
0c949702.wav,False,False,True,False,False,False,True,False,False,False
3c590143.wav,False,True,True,False,False,True,False,False,False,False
2327b6de.wav,False,True,False,True,False,False,True,False,False,False
2f643c50.wav,False,False,True,True,False,False,True,False,False,False
1175ac74.wav,False,False,False,True,False,False,True,False,False,False
072ee4b2.wav,False,True,False,True,False,True,True,False,False,True
102fb14f.wav,False,False,False,True,False,False,False,False,False,False
1438cfd0.wav,False,False,False,True,False,False,False,False,False,False
3cc51361.wav,False,True,True,False,False,False,False,False,False,False
10234fef.wav,False,True,False,True,False,False,True,False,False,False
21447ea7.wav,False,False,False,True,False,False,False,False,False,False
1c9e3f10.wav,False,True,False,True,False,False,False,False,False,False
3db04d3f.wav,False,True,False,True,False,False,False,False,False,False
08272d1c.wav,False,False,True,False,False,False,False,False,False,False
037b47c4.wav,False,True,False,False,False,False,True,False,False,False
0d74277e.wav,False,True,True,False,False,False,False,False,False,False
0c3b2573.wav,False,False,False,False,False,True,True,False,False,False
0cdddb37.wav,False,False,False,False,False,True,True,False,False,False
4248d196.wav,False,False,True,True,False,True,False,False,False,False
402e2d1b.wav,False,True,True,True,False,False,False,False,False,False
03887635.wav,False,False,True,False,False,True,False,False,False,True
2fa1cc09.wav,False,False,False,True,False,True,True,False,False,False
2a9c7202.wav,False,False,True,False,False,True,False,False,False,False
171aa36c.wav,False,True,False,False,False,True,False,False,False,False
31c60809.wav,False,False,False,True,False,True,True,False,False,False
404b54c0.wav,False,True,True,False,False,True,False,False,False,False
24dda4ed.wav,False,False,True,False,False,False,True,False,False,False
13237edd.wav,False,False,False,False,False,False,False,False,False,False
0bacb61b.wav,False,False,False,False,False,False,True,False,False,False
0f07f15f.wav,False,False,True,False,False,True,False,False,False,False
128a67de.wav,False,False,False,False,False,True,False,False,False,False
368e3f09.wav,False,False,True,False,False,False,False,False,False,False
22f2d98a.wav,False,False,False,False,True,True,False,False,False,False
1b0687b2.wav,False,False,True,True,True,False,True,False,False,True
0e6552c7.wav,False,False,False,True,True,True,False,False,False,True
31f4d839.wav,False,False,False,False,False,True,False,False,False,True
311fcc0d.wav,False,False,True,False,False,False,False,False,False,True
38d378d8.wav,False,True,True,False,False,False,False,False,False,False
3a87c628.wav,False,False,True,False,True,True,False,False,False,False
19135157.wav,False,False,True,False,True,True,False,False,False,True
